"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_CARRIER","ORIGIN","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY_NEW","DEP_DEL15","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2020,12,2,3,2020-12-02,"AA","ORD","LAX","1115","1111",0.00,0.00,"1344","1307",-37.00,0.00,0.00,0.00,"",,,,,,
2020,12,3,4,2020-12-03,"AA","ORD","LAX","1115","1108",0.00,0.00,"1344","1251",-53.00,0.00,0.00,0.00,"",,,,,,
2020,12,4,5,2020-12-04,"AA","ORD","LAX","1115","1106",0.00,0.00,"1344","1301",-43.00,0.00,0.00,0.00,"",,,,,,
2020,12,5,6,2020-12-05,"AA","ORD","LAX","1115","1111",0.00,0.00,"1344","1306",-38.00,0.00,0.00,0.00,"",,,,,,
2020,12,6,7,2020-12-06,"AA","ORD","LAX","1115","1111",0.00,0.00,"1344","1303",-41.00,0.00,0.00,0.00,"",,,,,,
2020,12,7,1,2020-12-07,"AA","ORD","LAX","1115","1109",0.00,0.00,"1344","1304",-40.00,0.00,0.00,0.00,"",,,,,,
2020,12,9,3,2020-12-09,"AA","ORD","LAX","1115","1106",0.00,0.00,"1344","1311",-33.00,0.00,0.00,0.00,"",,,,,,
2020,12,10,4,2020-12-10,"AA","ORD","LAX","1115","1107",0.00,0.00,"1344","1328",-16.00,0.00,0.00,0.00,"",,,,,,
2020,12,11,5,2020-12-11,"AA","ORD","LAX","1115","1108",0.00,0.00,"1344","1336",-8.00,0.00,0.00,0.00,"",,,,,,
2020,12,12,6,2020-12-12,"AA","ORD","LAX","1115","1113",0.00,0.00,"1344","1338",-6.00,0.00,0.00,0.00,"",,,,,,
2020,12,13,7,2020-12-13,"AA","ORD","LAX","1115","1106",0.00,0.00,"1344","1334",-10.00,0.00,0.00,0.00,"",,,,,,
2020,12,14,1,2020-12-14,"AA","ORD","LAX","1115","1114",0.00,0.00,"1344","1332",-12.00,0.00,0.00,0.00,"",,,,,,
2020,12,16,3,2020-12-16,"AA","ORD","LAX","1115","1110",0.00,0.00,"1344","1316",-28.00,0.00,0.00,0.00,"",,,,,,
2020,12,25,5,2020-12-25,"AA","MSP","ORD","1033","1031",0.00,0.00,"1214","1221",7.00,7.00,0.00,0.00,"",,,,,,
